domain;create date;type
piter-news[.]net;07/03/2013;domain
lenta[.]kharkiv[.]ua;07/03/2013;subdomain
moskva-news[.]com;09/03/2013;domain
uanews[.]kharkiv[.]ua;18/03/2013;subdomain
topnews[.]kiev[.]ua;24/03/2013;subdomain
topnews[.]odessa[.]ua;30/03/2013;subdomain
uanews[.]odessa[.]ua;30/03/2013;subdomain
dneprnews[.]com[.]ua;01/04/2013;domain
uanews[.]dp[.]ua;01/04/2013;subdomain
topnews[.]zp[.]ua;01/04/2013;subdomain
uanews[.]zp[.]ua;01/04/2013;subdomain
lenta[.]te[.]ua;08/04/2013;subdomain
lenta[.]lviv[.]ua;11/04/2013;subdomain
lenta[.]donetsk[.]ua;19/04/2013;subdomain
topnews[.]uz[.]ua;01/05/2013;subdomain
topnews[.]sebastopol[.]ua;11/05/2013;subdomain
topnews[.]sumy[.]ua;11/05/2013;subdomain
uanews[.]crimea[.]ua;11/05/2013;subdomain
uanews[.]sumy[.]ua;11/05/2013;subdomain
lenta[.]if[.]ua;11/05/2013;subdomain
topnews[.]km[.]ua;11/05/2013;subdomain
topnews[.]ks[.]ua;11/05/2013;subdomain
topnews[.]lg[.]ua;11/05/2013;subdomain
uanews[.]ck[.]ua;11/05/2013;subdomain
uanews[.]cn[.]ua;11/05/2013;subdomain
uanews[.]cv[.]ua;11/05/2013;subdomain
uanews[.]if[.]ua;11/05/2013;subdomain
uanews[.]km[.]ua;11/05/2013;subdomain
uanews[.]kr[.]ua;11/05/2013;subdomain
uanews[.]ks[.]ua;11/05/2013;subdomain
uanews[.]lg[.]ua;11/05/2013;subdomain
uanews[.]pl[.]ua;11/05/2013;subdomain
uanews[.]rv[.]ua;11/05/2013;subdomain
uanews[.]uz[.]ua;11/05/2013;subdomain
uanews[.]vn[.]ua;11/05/2013;subdomain
uanews[.]zt[.]ua;11/05/2013;subdomain
uanews[.]donetsk[.]ua;11/05/2013;subdomain
uanews[.]lviv[.]ua;11/05/2013;subdomain
topnews[.]volyn[.]ua;11/05/2013;subdomain
topnews[.]cv[.]ua;11/05/2013;subdomain
uanews[.]te[.]ua;11/05/2013;subdomain
uanews[.]volyn[.]ua;11/05/2013;subdomain
kiev-news[.]com[.]ua;11/05/2013;domain
niknews[.]com[.]ua;11/05/2013;domain
topnews[.]zt[.]ua;11/05/2013;subdomain
nikolaevnews[.]com[.]ua;11/05/2013;domain
topnews[.]pl[.]ua;11/05/2013;subdomain
topnews[.]rv[.]ua;11/05/2013;subdomain
topnews[.]cn[.]ua;11/05/2013;subdomain
topnews[.]ck[.]ua;12/05/2013;subdomain
topnews[.]kr[.]ua;12/05/2013;subdomain
topnews[.]vn[.]ua;14/05/2013;subdomain
crimea-news[.]com;05/11/2013;domain
barnaul-news[.]net;02/12/2013;domain
chelyabinsk-news[.]net;02/12/2013;domain
irkutsk-news[.]net;02/12/2013;domain
izhevsk-news[.]net;02/12/2013;domain
kazan-news[.]net;02/12/2013;domain
khabarovsk-news[.]net;02/12/2013;domain
krasnodar-news[.]net;02/12/2013;domain
krasnoyarsk-news[.]net;02/12/2013;domain
nn-news[.]net;02/12/2013;domain
novosibirsk-news[.]net;02/12/2013;domain
omsk-news[.]net;02/12/2013;domain
perm-news[.]net;02/12/2013;domain
rostov-news[.]net;02/12/2013;domain
samara-news[.]net;02/12/2013;domain
saratov-news[.]net;02/12/2013;domain
sochi-news[.]net;02/12/2013;domain
tolyatti-news[.]net;02/12/2013;domain
tyumen-news[.]net;02/12/2013;domain
ufa-news[.]net;02/12/2013;domain
ulyanovsk-news[.]net;02/12/2013;domain
ural-news[.]net;02/12/2013;domain
vladivostok-news[.]net;02/12/2013;domain
volgograd-news[.]net;02/12/2013;domain
